UI_20150317_000001	{@st41b}Apprenez des attributs{nl}des maîtres de chacune des classes.{/}	{@st41b}각 클래스 마스터들에게서{nl}특성을 배울 수 있습니다.{/}				
UI_20150317_000002	{@st43}Liste des Attributs {/}	{@st43}특성 목록{/}				
UI_20150317_000003	{@st59}Fermer le journal d'aventure{/}	{@st59}특성리스트를 닫습니다{/}				
UI_20150317_000004	{@st43}Apprendre des Attributs{/}	{@st43}특성 배우기{/}				
UI_20150317_000005	{@st59}Fermer le journal d'aventure{/}	{@st59}특성창을 닫습니다{/}				
UI_20150317_000006	{@st41b}Argent{/}	{@st41b}소지금{/}				
UI_20150317_000007	Mes Accomplissements	나의 업적				
UI_20150317_000008	Classement du Server	서버 랭킹				
UI_20150317_000009	{@st59}Un evenement inattendu est disponible.{/}	{@st59}돌발이벤트가 있습니다{/}				
UI_20150317_000010	{@st59}Il y a un nouveau message d'Aide{/}	{@st59}도움말이 있습니다{/}				
UI_20150317_000011	{@st41}etes-vous sûr de vouloir fabriquer ce type de fleche?{/}	{@st41}어떤 종류의 화살을 제작하겠습니까?{/}				
UI_20150317_000012	{@st41b}Une fois{/}	{@st41b}한번만{/}				
UI_20150317_000013	{@st41b}Tous{/}	{@st41b}모두{/}				
UI_20150317_000014	{@st41b} Pause {/}	{@st41b}중단{/}				
UI_20150317_000015	{@st43}Journal d'Aventure{/}	{@st43}모험일지{/}				
UI_20150317_000016	{@st43}Hôtel des Ventes{/}	{@st43}경매장{/}				
UI_20150317_000017	{@st59}Fermer le journal d'aventure{/}	{@st59}경매장을 닫습니다{/}				
UI_20150317_000018	{memo X}{@st41b}Objets Vendu : ×%s, Objets Non Vendu : ×%s{/}	{@st41b}낙찰물품 : %s개,  유찰물품 : %s개{/}				
UI_20150317_000019	{@st43}{s22}Objet aux Encheres{/}	{@st43}{s22}아이템 경매{/}				
UI_20150317_000020	{@st59}Fermer le journal d'aventure{/}	{@st59}퀘스트 정보를 닫습니다{/}				
UI_20150317_000021	Disponible	아베일레스트				
UI_20150317_000022	{@st41b}Temps Restant	{@st41b}남은 시간				
UI_20150317_000023	3 heures 16 minutes	3시간 16분				
UI_20150317_000024	{@st41b}Prix de Depart	{@st41b}시작가				
UI_20150317_000025	{@st41b}Encheres	{@st41b}입찰수				
UI_20150317_000026	{@st41b}Prix Actuel	{@st41b}현재가				
UI_20150317_000027	{@st41b}Prix aux Encheres	{@st41b}입찰금				
UI_20150317_000028	{@st41b}Prix d'enchere minimum pour {@st57}%s{@st41b}pieces d'argent{/}	{@st41b}최소 {@st57}%s {@st41b}실버부터 입찰가능{/}				
UI_20150317_000029	{@st41b}Enchere{/}	{@st41b}입찰{/}				
UI_20150317_000030	{@st43b}Acheter Maintenant!{nl}{img icon_item_silver 20 20}{@st57}%s{/}	{@st43b}바로 구매!{nl}{img icon_item_silver 20 20}{@st57}%s{/}				
UI_20150317_000031	{@st44}Option de Droits{/}	{@st44}권한설정{/}				
UI_20150317_000032	{@st45}Nom: %s{/}	{@st45}이름:%s{/}				
UI_20150317_000033	{@st45}Maison du Groupe{/}	{@st45}파티 창고{/}				
UI_20150317_000034	{@st49}Aucun	{@st49}없음				
UI_20150317_000035	{@st49}Magasin	{@st49}넣기				
UI_20150317_000036	{@st49}Recuperer	{@st49}가져오기				
UI_20150317_000037	{@st45}Enquete{/}	{@st45}설문{/}				
UI_20150317_000038	{@st49}Creer	{@st49}작성				
UI_20150317_000039	{@st49}Supprimer	{@st49}삭제				
UI_20150317_000040	{@st44}Sauvegarder{/}	{@st44}저장{/}				
UI_20150317_000041	{@st44}Annuler{/}	{@st44}취소{/}				
UI_20150317_000042	{@st43}{s22}Boutique de Coiffure{/}	{@st43}{s22}미용실{/}				
UI_20150317_000043	{@st59}Coiffure Precedente{/}	{@st59}이전 머리{/}				
UI_20150317_000044	{@st59}Coiffure Suivante{/}	{@st59}다음 머리{/}				
UI_20150317_000045	{@st41b} Changer {s18} (100 iCoins requis) {/}	{@st41b}변경{s18}(NXP 100 필요){/}				
UI_20150317_000046	{@st59}Appliquer la coiffure selectionnee.{/}	{@st59}선택한 헤어로 변경합니다.{/}				
UI_20150317_000047	{@st41}Annuler	{@st41}해약				
UI_20150317_000048	{@st43}Marche Noir{/}	{@st43}블랙 마켓{/}				
UI_20150317_000049	Nom du Livre	책이름				
UI_20150317_000050	{@St59}Arreter de lire{/}	{@st59}독서를 그만둡니다{/}				
UI_20150317_000051	{@st59}Page Precedente{/}	{@st59}이전 페이지{/}				
UI_20150317_000052	{@st59}Page Suivante{/}	{@st59}다음페이지{/}				
UI_20150317_000053	{@st47}%s est apparu!	{@st47}%s 등장!!				
UI_20150317_000054	{@st43}Score{/}	{@st43}스코어{/}				
UI_20150317_000055	Dommage Reçu	받은 데미지				
UI_20150317_000056	Bonus de Technique	테크닉 보너스				
UI_20150317_000057	Bonus d'Evasion	회피 보너스				
UI_20150317_000058	Clear Time	클리어 시간				
UI_20150317_000059	Score Total	총 점수				
UI_20150317_000060	{@st42}Temps ecoule	{@st42}경과 시간				
UI_20150317_000061	10 minutes	10분				
UI_20150317_000062	10 secondes	10초				
UI_20150317_000063	{memo X}{@st44}Termine	{@st44}마감하기				
UI_20150317_000064	{@st59}Fermer le journal d'aventure{/}	{@st59}자판기를 닫습니다{/}				
UI_20150317_000065	{@st43}Distributeur de Bonus	{@st43}버프 자판기				
UI_20150317_000066	Nom du Distributeur	자판기 이름				
UI_20150317_000067	{memo X}{@st43}S'inscrire	{@st43}등록				
UI_20150317_000068	{memo X}{@st43}Annuler	{@st43}취소				
UI_20150317_000069	Distributeur de Bonus	버프 자판기				
UI_20150317_000070	{@st59}Fermer le Distributeur de Bonus.	{@st59}버프 자판기를 닫습니다.				
UI_20150317_000071	{@st59}Distributeur de Bonus{nl} - Vous pouvez payer pour recevoir des bonus d'un autre joueur.	{@st59}버프 자판기{nl} - 실버를 지불해 해당 플레이어에게 버프 기술을 시전받을 수 있습니다.				
UI_20150317_000072	Menu de Transport	마차메뉴				
UI_20150317_000073	{ol}{s22}Disembark {/}	{ol}{s22}내리기{/}				
UI_20150317_000074	Invocation	캐스팅				
UI_20150317_000075	{@st43} Parametres de jeu {/}	{@st43}게임설정{/}				
UI_20150317_000076	{@st64}Utiliser les fleches du clavier pour selectionner une cellule!	{@st64}방향키를 입력해 셀을 선택하세요!				
UI_20150317_000077	{@st43}Information Avancee{/}	{@st43}전직 정보{/}				
UI_20150317_000078	{@st43}Selectionnez une Classe	{@st43}클래스 선택				
UI_20150317_000079	Psychokinesie	사이코키네스스트				
UI_20150317_000080	{@st42}%s Cercle {/}	{@st42}%s 서클{/}				
UI_20150317_000081	Combien de cercles	몇 서클				
UI_20150317_000082	Afficher une breve description de la classe.	클래스에 대한 간단한 설명을 이곳에 표시합니다.				
UI_20150317_000083	{@st41b}Attaque {@sti7}%s{/}	{@st41b}공격력 {@sti7}%s{/}				
UI_20150317_000084	{@st41b}Support {@sti7}%s{/}	{@st41b}보조    {@sti7}%s{/}				
UI_20150317_000085	{@st41b}Difficulte{@sti7}%s{/}	{@st41b}난이도 {@sti7}%s{/}				
UI_20150317_000086	{@st59}Fermer le journal d'aventure{/}	{@st59}클래스 정보 창을 닫습니다{/}				
